PM T Mlu 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.1
PM B Mlu 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.2
PM NK Mlu 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.3
PM Mono Mlu 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.4
PM T Hpy 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.1
PM B Hpy 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.2
PM NK Hpy 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.3
PM Mono Hpy 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.4
PM T Aci 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.1
PM B Aci 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.2
PM NK Aci 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.3
PM Mono Aci 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.4
LW T Mlu 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.5
LW B Mlu 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.6
LW NK Mlu 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.7
LW Mono Mlu 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.8
LW T Hpy 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.5
LW B Hpy 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.6
LW NK Hpy 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.7
LW Mono Hpy 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.8
LW T Aci 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.5
LW B Aci 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.6
LW NK Aci 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.7
LW Mono Aci 12m	FB-P5-Rd1-LTR.1	FB-P7-Rd2.LC.8
